"Outlet / person","Category","Priority","Contact name","Contact email","Public social handle","Submission URL","Verified source URL","Contact method","Pitch version used","Date contacted","Follow-up date","Response","Status","Notes"
"The Ringer","National sports/culture media","Medium","Ringer editors","editors@theringer.com","","https://www.theringer.com/contact","https://www.theringer.com/contact","Pitch Us contact route or Gmail draft","Publication-Safe Pitch","","","","ready for draft","Use publication-safe pitch. Do not lead with LA/Miami/Boston shots."
"NBA Contact Center","Official NBA / league","Medium","NBA contact team","","","https://contact.nba.com/contact-nba/","https://contact.nba.com/contact-nba/","Contact form topic: Media Inquiries or General Comments","Clean Knicks/NBA Pitch","","","","ready for review","Goal is internal visibility, not a publication ask."
"NBA Media Central","Official NBA / media-only","Low","","","","https://mediacentral.nba.com/register/","https://mediacentral.nba.com/register/","Registration only","Clean Knicks/NBA Pitch","","","","not recommended","Media-only account registration, not a pitch route."
"MSG Sports / MSG Networks","Official Knicks/MSG orbit","Medium","MSG Networks","info@msgnetworks.com","","mailto:info@msgnetworks.com","https://www.msgsports.com/contact-information-for-press-inquiries/","Gmail draft","Clean Knicks/NBA Pitch","","","","ready for draft","Indirect official route. Keep respectful and do not ask for publishing."
"New York Knicks official site","Official Knicks","Medium","","","","https://www.nba.com/knicks/news/team-directory","https://www.nba.com/knicks/news/team-directory","Official directory only; no public editorial pitch route verified","Clean Knicks/NBA Pitch","","","","no verified route","Do not guess Knicks PR emails. Use MSG/NBA official routes first."
"SNY","NYC sports media","Medium","SNY team","info1@sny.tv","","mailto:info1@sny.tv","https://sny.tv/contact-us","Gmail draft","Clean Knicks/NBA Pitch","","","","ready for draft","SNY contact page lists correspondence and email route."
"New York Post","NYC sports / newspaper","Medium/High","New York Post tips desk","tips@nypost.com","","https://nypost.com/tips/","https://nypost.com/tips/","Tip form or Gmail draft","Publication-Safe Pitch","","","","ready for draft","Use tight pitch and link. Do not send full raw article."
"Newsday Opinion","NYC/Long Island newspaper","Medium","Newsday Opinion","opinions@newsday.com","","mailto:opinions@newsday.com","https://www.newsday.com/services/contact-newsday-lz16sefb","Gmail draft","Publication-Safe Pitch","","","","ready for draft","Official contact page lists op-ed submissions through opinions@newsday.com."
"New York Daily News","NYC newspaper","Medium","","","","","https://www.nydailynews.com/","No verified official route available in current research","Publication-Safe Pitch","","","","no verified route","Do not use third-party emails without manual verification."
"CBS News New York","NYC mainstream media","Medium","CBS News New York assignment desk","desk@cbs2ny.com","","https://www.cbsnews.com/newyork/contact-us/","https://www.cbsnews.com/newyork/contact-us/","Gmail draft or news tip form","Civic / Publication-Safe Pitch","","","","ready for draft","Local route is stronger than national CBS Sports for this essay."
"CBS Sports Communications","National sports media","Medium","CBS Sports communications","JSabatelle@cbs.com","","mailto:JSabatelle@cbs.com","https://www.paramountpressexpress.com/cbs-sports/contacts/","Gmail draft","Publication-Safe Pitch","","","","ready for draft","Press contact, not editorial submission. Use only a clean FYI/pitch."
"ESPN Press Room","National sports media","Low/Medium","ESPN Communications","espnpr@espn.com","","mailto:espnpr@espn.com","https://espnpressroom.com/us/contact-us/","Gmail draft only if framed as media inquiry","Publication-Safe Pitch","","","","hold","Official page says working media use this route. Do not send unless we decide the ask is appropriate."
"The Athletic Knicks writers","Mainstream sports media","Medium","","","","","https://muckrack.com/media-outlet/theathletic","No official pitch route verified","Publication-Safe Pitch","","","","no verified route","Use only if a verified individual writer/contact page is found manually."
"Gothamist / WNYC","NYC media / culture","Medium/High","Gothamist/WNYC tips desk","tips@gothamist.com","","mailto:tips@gothamist.com","https://www.wnyc.org/story/tips/","Gmail draft","Civic Pitch","","","","ready for draft","Caution: their tips page says pitches/press releases may not get a response. Frame as a NYC story idea."
"The City Reporter","NYC nonprofit media","Medium/High","The City Reporter tips desk","tips@thecityreporter.nyc","","https://thecityreporter.nyc/contact/","https://www.facebook.com/thecityny/","Contact page or Gmail draft","Civic Pitch","","","","ready for draft","Official social profile lists tips email/contact route. Lead with city identity."
"Defector","Sports/culture publication","Medium","Defector pitches","pitches@defector.com","","mailto:pitches@defector.com","https://defector.com/how-to-pitch-defector","Gmail draft","Defector Pitch","","","","ready for draft","Use a true pitch, not a share request. Fit is sports/culture voice."
"amNewYork","NYC newspaper","Medium","","","","","https://www.linkedin.com/company/amnewyork","No verified official pitch route available in current research","Publication-Safe Pitch","","","","no verified route","amNY fit is real, but do not guess emails. Manual route needed."
"NY1 / Spectrum News NY1","NYC mainstream media","Medium","NY1 newsroom","","","https://ny1.com/nyc/all-boroughs/about-us/contact-us","https://ny1.com/nyc/all-boroughs/about-us/contact-us","Contact form","Civic Pitch","","","","ready for review","Contact page invites story ideas and feedback through a form."
"City & State New York","NYC politics/civic media","Medium","City & State editorial team","editor@cityandstateny.com","","mailto:editor@cityandstateny.com","https://www.cityandstateny.com/about/contact/","Gmail draft","Civic Pitch","","","","ready for draft","Good civic/politics-adjacent outlet if framed as city identity/public joy."
"New York Focus","NYC/state civic media","Low/Medium","","","","https://nysfocus.com/pitch","https://nysfocus.com/pitch","Pitch form","Civic Pitch","","","","hold","Mission is more accountability/policy. Use only if civic angle is sharpened."
